"Diet","Phylum","count_above_0","count_below_0"
"Carnivore","Actinobacteriota",0,1
"Carnivore","Bacteroidota",1,28
"Carnivore","Desulfobacterota",0,1
"Carnivore","Firmicutes",5,62
"Carnivore","Fusobacteriota",0,1
"Carnivore","Proteobacteria",4,4
"Herbivore","Actinobacteriota",0,1
"Herbivore","Bacteroidota",3,50
"Herbivore","Fibrobacterota",0,4
"Herbivore","Firmicutes",1,82
"Herbivore","Proteobacteria",2,2
"Herbivore","Spirochaetota",0,5
"Herbivore","Verrucomicrobiota",2,6
"Omnivore","Bacteroidota",0,35
"Omnivore","Campilobacterota",0,1
"Omnivore","Chloroflexi",0,1
"Omnivore","Cyanobacteria",0,2
"Omnivore","Fibrobacterota",0,1
"Omnivore","Firmicutes",1,37
"Omnivore","Proteobacteria",0,2
"Omnivore","Spirochaetota",1,7
"Omnivore","Verrucomicrobiota",0,2
