"Ferm","Phylum_Clean","mean_log2FoldChange","sd_log2FoldChange"
"Hindgut","Fibrobacterota",-3.29975393449453,1.41330320041962
"Hindgut","Spirochaetota",-3.1604246948329,1.22238178525582
"Non-fermentors","Actinobacteriota",-2.87648588346829,1.55404922363614
"Foregut","Verrucomicrobiota",-2.86387395331164,1.30841108958925
"Foregut","Cyanobacteria",-2.67761781954792,0.725025794447589
"Foregut","Proteobacteria",-2.61052438068535,0.323544839055697
"Foregut","Firmicutes",-2.6004180075376,0.80371342471752
"Non-fermentors","Bacteroidota",-2.59020331786982,2.75652485984443
"Hindgut","Bacteroidota",-2.53036841755274,1.30935944410569
"Hindgut","Actinobacteriota",-2.5108426895806,0.637694541777359
"Non-fermentors","Fusobacteriota",-2.41411606280781,0.900159552426073
"Hindgut","Firmicutes",-2.25445884480686,0.582566508911694
"Hindgut","Fusobacteriota",-2.15898768719074,0.599661766103851
"Hindgut","Verrucomicrobiota",-2.07105050335069,1.45401280431117
"Non-fermentors","Firmicutes",-2.04285593053671,2.53641535694044
"Hindgut","Chloroflexi",-1.86648002101161,0.185993457495218
"Non-fermentors","Verrucomicrobiota",-1.69000853731833,0.0562947968329507
"Foregut","Bacteroidota",-0.854122685829194,3.88327344183554
"Non-fermentors","Proteobacteria",0.0324651169112262,4.77898384720291
"Foregut","Spirochaetota",1.65751350656977,5.17250412285788
"Non-fermentors","Spirochaetota",2.71783530653285,2.97678103231832
