"ASV","Phylum","Class","Order","Family","Genus","Species","s.N_captive","s.N_wild","p.value","stat"
"6d534a09162722f86cdc289491fa3cec","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides",NA,1,NA,0.005,0.92
"7d9a7f29775c1b1f2eb5aa21b37a62ff","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","g__Muribaculaceae","s__uncultured_bacterium",1,NA,0.025,0.912
"cfeecc427c85c4b9a39ba5871d21eb68","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella","s__uncultured_bacterium",1,NA,0.045,0.812
"2bcf425025be62937ec12fbc5cb71906","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Oribacterium","s__uncultured_bacterium",1,NA,0.005,0.862
"eca16f5d7a614cac3895480a0ef3a92a","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Blautia",NA,1,NA,0.005,0.907
"055aec5edbd03daea137c9fe44ec23af","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnospiraceae_NK4A136_group",NA,1,NA,0.01,0.827
"bcb825e57ac895f8bd369395774b4bdc","p__Firmicutes","c__Negativicutes","o__Acidaminococcales","f__Acidaminococcaceae","g__Phascolarctobacterium",NA,1,NA,0.04,0.866
"76d5bbf6da7afa38016597a45b5c0d4a","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__UCG-005","s__uncultured_bacterium",1,NA,0.045,0.844
"2a51f0756aded0623f7514b79e871acd","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Sutterellaceae","g__Sutterella",NA,1,NA,0.03,0.819
"02ecd7df46d9bd8a6f9c59f300c72e61","p__Spirochaetota","c__Spirochaetia","o__Spirochaetales","f__Spirochaetaceae","g__Treponema",NA,1,NA,0.04,0.811
"2f09b2e2a46164807f74ab8beba064c6","p__Actinobacteriota","c__Coriobacteriia","o__Coriobacteriales","f__Eggerthellaceae","g__Slackia",NA,NA,1,0.005,0.88
"0cf5a133b77fab3acaeb72461b28d17f","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides","s__uncultured_bacterium",NA,1,0.005,0.811
"8329871210cb24641d6ebd970e1408d8","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Alloprevotella",NA,NA,1,0.005,0.818
"b6379fd4f3a7d2c52d0d261714136c31","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotellaceae_UCG-003","s__uncultured_bacterium",NA,1,0.005,0.849
"6d534a09162722f86cdc289491fa3cec","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Bacteroidaceae","g__Bacteroides",NA,NA,1,0.005,0.92
"7d9a7f29775c1b1f2eb5aa21b37a62ff","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Muribaculaceae","g__Muribaculaceae","s__uncultured_bacterium",NA,1,0.025,0.912
"cfeecc427c85c4b9a39ba5871d21eb68","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella","s__uncultured_bacterium",NA,1,0.045,0.812
"662218bf3f2d78d26369b43e51755558","p__Firmicutes","c__Bacilli","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Catenisphaera","s__uncultured_bacterium",NA,1,0.005,0.811
"8354ed736268c7e261e225222f0b4740","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Negativibacillus",NA,NA,1,0.005,0.813
"3f32a617552f59256b1ccda67e563925","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Phocea","s__uncultured_bacterium",NA,1,0.005,0.816
"a1b5039ab5e75b1d19be59d1ad3d2486","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__[Ruminococcus]_torques_group","s__Ruminococcus_torques",NA,1,0.005,0.817
"fe91c235feb6160a3a4718c4fedd24bf","p__Firmicutes","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Anaerovoracaceae",NA,NA,NA,1,0.005,0.822
"08f4e7eeb648a1072c0e8d62e33ff2f9","p__Firmicutes","c__Clostridia","o__Clostridia_vadinBB60_group","f__Clostridia_vadinBB60_group","g__Clostridia_vadinBB60_group","s__uncultured_organism",NA,1,0.005,0.823
"401cad1caaf0490502f3cc0a99dab71a","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__uncultured","s__uncultured_organism",NA,1,0.005,0.825
"4eaa5ef2e730e2caf8d78330b4d99cd6","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__Oscillibacter","s__Oscillibacter_sp.",NA,1,0.005,0.826
"7efccdf082ad9d4f7a9fc05f6b302699","p__Firmicutes","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Anaerovoracaceae","g__Family_XIII_AD3011_group","s__uncultured_bacterium",NA,1,0.005,0.852
"2bcf425025be62937ec12fbc5cb71906","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Oribacterium","s__uncultured_bacterium",NA,1,0.005,0.862
"172253762c87148dba70c41ed4908d31","p__Firmicutes","c__Bacilli","o__Erysipelotrichales","f__Erysipelotrichaceae","g__uncultured","s__uncultured_bacterium",NA,1,0.005,0.883
"d8734b2b721115b2ebab69900e532510","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__uncultured",NA,NA,1,0.005,0.899
"c3ad161334e69c38318d41808df62838","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__[Eubacterium]_coprostanoligenes_group","g__[Eubacterium]_coprostanoligenes_group","s__uncultured_bacterium",NA,1,0.005,0.906
"eca16f5d7a614cac3895480a0ef3a92a","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Blautia",NA,NA,1,0.005,0.907
"ff21d4b504a433f91b1bd9af629ab022","p__Firmicutes","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Anaerovoracaceae","g__[Eubacterium]_nodatum_group","s__uncultured_bacterium",NA,1,0.005,0.923
"d6be0f9862bde67ebe030b9872cc4de0","p__Firmicutes","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Anaerovoracaceae","g__Family_XIII_AD3011_group","s__uncultured_Clostridiales",NA,1,0.005,0.931
"425a59286be22347aef98bb4dce59feb","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__uncultured",NA,NA,1,0.005,0.934
"2045e346ec865bfa2d6b68702908c662","p__Firmicutes","c__Clostridia","o__Christensenellales","f__Christensenellaceae","g__Christensenellaceae_R-7_group","s__uncultured_bacterium",NA,1,0.005,0.94
"9191d88f4606c27ab1151aceca415357","p__Firmicutes","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Anaerovoracaceae","g__[Eubacterium]_brachy_group","s__uncultured_bacterium",NA,1,0.005,0.946
"996f7ae75876378c15821d42e38f308f","p__Firmicutes","c__Bacilli","o__Erysipelotrichales","f__Erysipelatoclostridiaceae","g__UCG-004","s__unidentified_rumen",NA,1,0.01,0.803
"76f8efcc44e5ecb634df336567c3c87f","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__uncultured","s__human_gut",NA,1,0.01,0.808
"7e69e5a8876edc644cd685baced6fba4","p__Firmicutes","c__Bacilli","o__RF39","f__RF39","g__RF39","s__unidentified_rumen",NA,1,0.01,0.824
"10bed7e26a20bf32c61f1c6ea6aa8492","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Negativibacillus","s__uncultured_bacterium",NA,1,0.01,0.863
"61b5b6100af0d52d1364cc242035667b","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Candidatus_Soleaferrea","s__uncultured_bacterium",NA,1,0.01,0.868
"6a37e286f8bf7b4292865668f71e2ae4","p__Firmicutes","c__Clostridia","o__Christensenellales","f__Christensenellaceae","g__Christensenellaceae_R-7_group","s__uncultured_prokaryote",NA,1,0.01,0.874
"26a0d4b0ff37d687b0e0dcfc7c4ac203","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__Colidextribacter",NA,NA,1,0.015,0.8
"1e93a8551fb60233923fc90c744b7987","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__Papillibacter","s__uncultured_bacterium",NA,1,0.02,0.802
"44b2c21e6aff0de62602fb97d31503b2","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae",NA,NA,NA,1,0.03,0.906
"50efc974dc15941345bcff5b4e96e15a","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__[Eubacterium]_coprostanoligenes_group","g__[Eubacterium]_coprostanoligenes_group",NA,NA,1,0.035,0.918
"bcb825e57ac895f8bd369395774b4bdc","p__Firmicutes","c__Negativicutes","o__Acidaminococcales","f__Acidaminococcaceae","g__Phascolarctobacterium",NA,NA,1,0.04,0.866
"76d5bbf6da7afa38016597a45b5c0d4a","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__UCG-005","s__uncultured_bacterium",NA,1,0.045,0.844
"2a51f0756aded0623f7514b79e871acd","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Sutterellaceae","g__Sutterella",NA,NA,1,0.03,0.819
"9ec33abccbefe667f5f755bf714c8953","p__Spirochaetota","c__Spirochaetia","o__Spirochaetales","f__Spirochaetaceae","g__Treponema","s__uncultured_bacterium",NA,1,0.015,0.852
